Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
45000;	24;	6747;	15750;	22500;	0;	100%;	2;	0;	1;	1;	93%;	29%;	2;	2;	0;	0;	72%;	29%;	1;	1;	0;	0;	85%;	29%;	70%;	29%;	49%;	28%;	19%;	27%;	NaN%;	NaN%;	
50000;	24;	7497;	17500;	25000;	0;	99%;	1;	1;	0;	0;	91%;	29%;	2;	1;	0;	1;	87%;	29%;	1;	1;	0;	0;	81%;	29%;	67%;	29%;	47%;	28%;	18%;	27%;	NaN%;	NaN%;	
5000;	25;	747;	1750;	2500;	0;	99%;	3;	1;	1;	1;	84%;	28%;	1;	1;	0;	0;	85%;	28%;	2;	1;	0;	1;	80%;	28%;	69%;	28%;	48%;	27%;	19%;	26%;	NaN%;	NaN%;	
10000;	25;	1497;	3500;	5000;	0;	100%;	2;	1;	0;	1;	89%;	28%;	1;	1;	0;	0;	84%;	28%;	2;	1;	0;	1;	81%;	28%;	70%;	28%;	49%;	27%;	19%;	26%;	NaN%;	NaN%;	
15000;	25;	2247;	5250;	7500;	0;	100%;	2;	2;	0;	0;	84%;	28%;	1;	1;	0;	0;	90%;	28%;	1;	1;	0;	0;	90%;	28%;	71%;	28%;	50%;	27%;	20%;	26%;	NaN%;	NaN%;	
20000;	25;	2997;	7000;	10000;	0;	100%;	2;	1;	1;	0;	86%;	28%;	2;	1;	1;	0;	84%;	28%;	2;	1;	1;	0;	84%;	28%;	68%;	28%;	47%;	27%;	19%;	26%;	NaN%;	NaN%;	
25000;	25;	3747;	8750;	12500;	0;	100%;	2;	1;	0;	1;	92%;	28%;	1;	1;	0;	0;	90%;	28%;	2;	0;	1;	1;	92%;	28%;	73%;	28%;	52%;	27%;	20%;	26%;	NaN%;	NaN%;	
30000;	25;	4497;	10500;	15000;	0;	100%;	1;	1;	0;	0;	95%;	28%;	1;	1;	0;	0;	94%;	28%;	1;	1;	0;	0;	93%;	28%;	76%;	28%;	54%;	27%;	21%;	26%;	NaN%;	NaN%;	
35000;	25;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	92%;	28%;	2;	1;	1;	0;	81%;	28%;	2;	0;	2;	0;	88%;	28%;	69%;	28%;	49%;	27%;	19%;	26%;	NaN%;	NaN%;	
40000;	25;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	94%;	28%;	1;	1;	0;	0;	89%;	28%;	1;	1;	0;	0;	87%;	28%;	75%;	28%;	54%;	27%;	21%;	26%;	NaN%;	NaN%;	
45000;	25;	6747;	15750;	22500;	0;	100%;	2;	2;	0;	0;	78%;	28%;	3;	2;	1;	0;	70%;	28%;	1;	1;	0;	0;	90%;	28%;	69%;	28%;	49%;	27%;	19%;	26%;	NaN%;	NaN%;	
50000;	25;	7497;	17500;	25000;	0;	100%;	2;	1;	1;	0;	84%;	28%;	2;	1;	0;	1;	88%;	28%;	1;	1;	0;	0;	86%;	28%;	67%;	28%;	48%;	27%;	19%;	26%;	NaN%;	NaN%;	
5000;	26;	747;	1750;	2500;	0;	100%;	2;	2;	0;	0;	88%;	27%;	2;	1;	1;	0;	93%;	27%;	2;	2;	0;	0;	83%;	27%;	69%;	27%;	47%;	26%;	19%;	25%;	NaN%;	NaN%;	
10000;	26;	1497;	3500;	5000;	0;	100%;	3;	2;	1;	0;	95%;	27%;	1;	1;	0;	0;	93%;	27%;	2;	1;	0;	1;	87%;	27%;	70%;	27%;	49%;	26%;	19%;	25%;	NaN%;	NaN%;	
15000;	26;	2247;	5250;	7500;	0;	100%;	2;	2;	0;	0;	87%;	27%;	2;	1;	1;	0;	84%;	27%;	1;	1;	0;	0;	89%;	27%;	69%;	27%;	48%;	26%;	19%;	25%;	NaN%;	NaN%;	
20000;	26;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	81%;	27%;	2;	2;	0;	0;	81%;	27%;	2;	1;	1;	0;	86%;	27%;	74%;	27%;	52%;	26%;	21%;	25%;	NaN%;	NaN%;	
25000;	26;	3747;	8750;	12500;	0;	100%;	3;	2;	1;	0;	75%;	27%;	2;	1;	0;	1;	88%;	27%;	2;	2;	0;	0;	77%;	27%;	70%;	27%;	49%;	26%;	19%;	25%;	NaN%;	NaN%;	
30000;	26;	4497;	10500;	15000;	0;	100%;	2;	2;	0;	0;	79%;	27%;	1;	1;	0;	0;	89%;	27%;	1;	1;	0;	0;	89%;	27%;	74%;	27%;	51%;	26%;	20%;	25%;	NaN%;	NaN%;	
35000;	26;	5247;	12250;	17500;	0;	99%;	3;	2;	1;	0;	98%;	27%;	1;	1;	0;	0;	96%;	27%;	1;	1;	0;	0;	91%;	27%;	72%;	27%;	51%;	26%;	20%;	25%;	NaN%;	NaN%;	
40000;	26;	5997;	14000;	20000;	0;	100%;	3;	2;	0;	1;	93%;	27%;	2;	1;	1;	0;	93%;	27%;	2;	1;	0;	1;	93%;	27%;	75%;	27%;	54%;	26%;	21%;	25%;	NaN%;	NaN%;	
45000;	26;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	92%;	27%;	1;	1;	0;	0;	88%;	27%;	1;	1;	0;	0;	87%;	27%;	74%;	27%;	53%;	26%;	21%;	25%;	NaN%;	NaN%;	
50000;	26;	7497;	17500;	25000;	0;	100%;	2;	1;	1;	0;	85%;	27%;	2;	1;	1;	0;	85%;	27%;	1;	1;	0;	0;	89%;	27%;	68%;	27%;	48%;	26%;	19%;	25%;	NaN%;	NaN%;	
5000;	27;	747;	1750;	2500;	0;	100%;	2;	2;	0;	0;	95%;	26%;	3;	1;	1;	1;	92%;	26%;	3;	3;	0;	0;	74%;	26%;	79%;	26%;	56%;	25%;	22%;	24%;	NaN%;	NaN%;	
10000;	27;	1497;	3500;	5000;	0;	95%;	2;	2;	0;	0;	92%;	26%;	2;	1;	1;	0;	90%;	26%;	2;	2;	0;	0;	80%;	26%;	73%;	26%;	52%;	25%;	20%;	24%;	NaN%;	NaN%;	
15000;	27;	2247;	5250;	7500;	0;	100%;	2;	1;	1;	0;	90%;	26%;	2;	2;	0;	0;	81%;	26%;	3;	1;	1;	1;	84%;	26%;	70%;	26%;	49%;	25%;	19%;	24%;	NaN%;	NaN%;	
20000;	27;	2997;	7000;	10000;	0;	100%;	1;	1;	0;	0;	93%;	26%;	2;	1;	1;	0;	82%;	26%;	1;	1;	0;	0;	88%;	26%;	71%;	26%;	50%;	25%;	19%;	24%;	NaN%;	NaN%;	
25000;	27;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	80%;	26%;	3;	1;	2;	0;	80%;	26%;	2;	1;	1;	0;	86%;	26%;	72%;	26%;	52%;	25%;	20%;	24%;	NaN%;	NaN%;	
30000;	27;	4497;	10500;	15000;	0;	100%;	2;	2;	0;	0;	86%;	26%;	3;	1;	2;	0;	78%;	26%;	1;	1;	0;	0;	90%;	26%;	67%;	26%;	47%;	25%;	18%;	24%;	NaN%;	NaN%;	
35000;	27;	5247;	12250;	17500;	0;	100%;	3;	2;	1;	0;	82%;	26%;	1;	1;	0;	0;	91%;	26%;	1;	1;	0;	0;	91%;	26%;	69%;	26%;	48%;	25%;	18%;	24%;	NaN%;	NaN%;	
40000;	27;	5997;	14000;	20000;	0;	100%;	2;	2;	0;	0;	84%;	26%;	2;	1;	0;	1;	90%;	26%;	1;	1;	0;	0;	90%;	26%;	70%;	26%;	49%;	25%;	19%;	24%;	NaN%;	NaN%;	
45000;	27;	6747;	15750;	22500;	0;	98%;	2;	2;	0;	0;	91%;	26%;	1;	1;	0;	0;	83%;	26%;	1;	1;	0;	0;	82%;	26%;	66%;	26%;	46%;	25%;	18%;	24%;	NaN%;	NaN%;	
50000;	27;	7497;	17500;	25000;	0;	99%;	2;	2;	0;	0;	81%;	26%;	1;	1;	0;	0;	91%;	26%;	1;	1;	0;	0;	91%;	26%;	73%;	26%;	52%;	25%;	20%;	24%;	NaN%;	NaN%;	
5000;	28;	747;	1750;	2500;	0;	99%;	3;	1;	1;	1;	91%;	25%;	2;	1;	1;	0;	87%;	25%;	2;	1;	0;	1;	90%;	25%;	70%;	25%;	49%;	24%;	19%;	23%;	NaN%;	NaN%;	
10000;	28;	1497;	3500;	5000;	0;	100%;	3;	1;	2;	0;	91%;	25%;	2;	1;	1;	0;	91%;	25%;	2;	2;	0;	0;	84%;	25%;	70%;	25%;	49%;	24%;	19%;	24%;	NaN%;	NaN%;	
15000;	28;	2247;	5250;	7500;	0;	100%;	1;	1;	0;	0;	91%;	25%;	2;	1;	0;	1;	86%;	25%;	1;	1;	0;	0;	87%;	25%;	69%;	25%;	48%;	24%;	18%;	23%;	NaN%;	NaN%;	
20000;	28;	2997;	7000;	10000;	0;	99%;	2;	2;	0;	0;	88%;	25%;	1;	1;	0;	0;	93%;	25%;	1;	1;	0;	0;	91%;	25%;	73%;	25%;	51%;	24%;	20%;	23%;	NaN%;	NaN%;	
25000;	28;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	79%;	25%;	2;	0;	1;	1;	90%;	25%;	1;	1;	0;	0;	85%;	25%;	68%;	25%;	47%;	24%;	18%;	24%;	NaN%;	NaN%;	
30000;	28;	4497;	10500;	15000;	0;	97%;	1;	1;	0;	0;	92%;	25%;	2;	1;	1;	0;	82%;	25%;	1;	1;	0;	0;	86%;	25%;	70%;	25%;	50%;	24%;	19%;	23%;	NaN%;	NaN%;	
35000;	28;	5247;	12250;	17500;	0;	98%;	3;	1;	2;	0;	89%;	25%;	3;	1;	1;	1;	89%;	25%;	2;	1;	1;	0;	91%;	25%;	68%;	25%;	48%;	24%;	18%;	24%;	NaN%;	NaN%;	
40000;	28;	5997;	14000;	20000;	0;	97%;	2;	2;	0;	0;	80%;	25%;	1;	1;	0;	0;	91%;	25%;	2;	1;	1;	0;	81%;	25%;	77%;	25%;	55%;	24%;	21%;	24%;	NaN%;	NaN%;	
45000;	28;	6747;	15750;	22500;	0;	100%;	2;	1;	1;	0;	92%;	25%;	1;	1;	0;	0;	89%;	25%;	1;	1;	0;	0;	86%;	25%;	70%;	25%;	49%;	24%;	19%;	24%;	NaN%;	NaN%;	
50000;	28;	7497;	17500;	25000;	0;	100%;	3;	2;	1;	0;	76%;	25%;	2;	2;	0;	0;	82%;	25%;	2;	1;	1;	0;	85%;	25%;	70%;	25%;	49%;	24%;	19%;	23%;	NaN%;	NaN%;	
5000;	29;	747;	1750;	2500;	0;	94%;	3;	3;	0;	0;	88%;	24%;	2;	1;	1;	0;	93%;	24%;	2;	1;	1;	0;	90%;	24%;	71%;	24%;	50%;	24%;	19%;	23%;	NaN%;	NaN%;	
10000;	29;	1497;	3500;	5000;	0;	90%;	2;	2;	0;	0;	88%;	24%;	2;	2;	0;	0;	83%;	24%;	2;	1;	1;	0;	83%;	24%;	70%;	24%;	49%;	24%;	19%;	23%;	NaN%;	NaN%;	
15000;	29;	2247;	5250;	7500;	0;	97%;	4;	2;	0;	2;	87%;	24%;	1;	1;	0;	0;	89%;	24%;	1;	1;	0;	0;	84%;	24%;	66%;	24%;	46%;	23%;	18%;	23%;	NaN%;	NaN%;	
20000;	29;	2997;	7000;	10000;	0;	99%;	3;	3;	0;	0;	82%;	24%;	2;	2;	0;	0;	87%;	24%;	1;	1;	0;	0;	92%;	24%;	73%;	24%;	52%;	24%;	20%;	23%;	NaN%;	NaN%;	
25000;	29;	3747;	8750;	12500;	0;	99%;	1;	1;	0;	0;	92%;	24%;	2;	1;	0;	1;	89%;	24%;	1;	1;	0;	0;	90%;	24%;	70%;	24%;	49%;	24%;	19%;	23%;	NaN%;	NaN%;	
30000;	29;	4497;	10500;	15000;	0;	99%;	2;	1;	0;	1;	92%;	24%;	2;	2;	0;	0;	78%;	24%;	1;	1;	0;	0;	90%;	24%;	69%;	24%;	48%;	24%;	19%;	23%;	NaN%;	NaN%;	
35000;	29;	5247;	12250;	17500;	0;	99%;	2;	2;	0;	0;	84%;	24%;	2;	1;	0;	1;	89%;	24%;	1;	1;	0;	0;	89%;	24%;	68%;	24%;	48%;	24%;	18%;	23%;	NaN%;	NaN%;	
40000;	29;	5997;	14000;	20000;	0;	100%;	2;	1;	0;	1;	92%;	24%;	2;	1;	1;	0;	83%;	24%;	2;	1;	1;	0;	82%;	24%;	71%;	24%;	50%;	24%;	19%;	23%;	NaN%;	NaN%;	
45000;	29;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	90%;	24%;	1;	1;	0;	0;	89%;	24%;	1;	1;	0;	0;	88%;	24%;	75%;	24%;	54%;	24%;	21%;	23%;	NaN%;	NaN%;	
50000;	29;	7497;	17500;	25000;	0;	99%;	1;	1;	0;	0;	91%;	24%;	2;	0;	1;	1;	93%;	24%;	1;	1;	0;	0;	87%;	24%;	70%;	24%;	49%;	24%;	18%;	23%;	NaN%;	NaN%;	
5000;	30;	747;	1750;	2500;	0;	100%;	2;	2;	0;	0;	82%;	23%;	3;	1;	1;	1;	83%;	23%;	2;	2;	0;	0;	79%;	23%;	68%;	23%;	48%;	23%;	18%;	22%;	NaN%;	NaN%;	
10000;	30;	1497;	3500;	5000;	0;	97%;	2;	2;	0;	0;	86%;	23%;	3;	0;	3;	0;	87%;	23%;	1;	1;	0;	0;	91%;	23%;	75%;	23%;	53%;	23%;	20%;	22%;	NaN%;	NaN%;	
15000;	30;	2247;	5250;	7500;	0;	100%;	4;	3;	1;	0;	97%;	23%;	3;	2;	1;	0;	88%;	23%;	2;	1;	0;	1;	92%;	23%;	75%;	23%;	53%;	23%;	20%;	22%;	NaN%;	NaN%;	
20000;	30;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	93%;	23%;	1;	1;	0;	0;	87%;	23%;	1;	1;	0;	0;	84%;	23%;	70%;	23%;	48%;	23%;	18%;	22%;	NaN%;	NaN%;	
25000;	30;	3747;	8750;	12500;	0;	100%;	2;	1;	1;	0;	84%;	23%;	1;	1;	0;	0;	91%;	23%;	1;	1;	0;	0;	91%;	23%;	71%;	23%;	50%;	23%;	19%;	22%;	NaN%;	NaN%;	
30000;	30;	4497;	10500;	15000;	0;	100%;	2;	2;	0;	0;	84%;	23%;	2;	1;	0;	1;	93%;	23%;	2;	1;	0;	1;	90%;	23%;	75%;	23%;	54%;	23%;	20%;	22%;	NaN%;	NaN%;	
35000;	30;	5247;	12250;	17500;	0;	100%;	3;	2;	0;	1;	86%;	23%;	2;	1;	1;	0;	89%;	23%;	2;	2;	0;	0;	78%;	23%;	66%;	23%;	46%;	23%;	17%;	22%;	NaN%;	NaN%;	
40000;	30;	5997;	14000;	20000;	0;	100%;	2;	2;	0;	0;	93%;	23%;	2;	2;	0;	0;	81%;	23%;	2;	1;	1;	0;	82%;	23%;	69%;	23%;	49%;	23%;	19%;	22%;	NaN%;	NaN%;	
45000;	30;	6747;	15750;	22500;	0;	100%;	3;	1;	2;	0;	78%;	23%;	1;	1;	0;	0;	89%;	23%;	2;	1;	1;	0;	81%;	23%;	71%;	23%;	50%;	23%;	19%;	22%;	NaN%;	NaN%;	
50000;	30;	7497;	17500;	25000;	0;	100%;	2;	1;	0;	1;	89%;	23%;	1;	1;	0;	0;	91%;	23%;	2;	1;	1;	0;	83%;	23%;	69%;	23%;	49%;	23%;	19%;	22%;	NaN%;	NaN%;	
5000;	31;	747;	1750;	2500;	0;	99%;	2;	2;	0;	0;	96%;	23%;	3;	2;	1;	0;	80%;	23%;	1;	1;	0;	0;	91%;	23%;	70%;	22%;	49%;	22%;	19%;	22%;	NaN%;	NaN%;	
10000;	31;	1497;	3500;	5000;	0;	100%;	2;	2;	0;	0;	87%;	23%;	3;	2;	1;	0;	80%;	23%;	2;	1;	1;	0;	89%;	23%;	71%;	23%;	50%;	22%;	19%;	22%;	NaN%;	NaN%;	
15000;	31;	2247;	5250;	7500;	0;	100%;	2;	1;	0;	1;	91%;	23%;	2;	2;	0;	0;	80%;	23%;	1;	1;	0;	0;	92%;	23%;	74%;	23%;	52%;	22%;	20%;	22%;	NaN%;	NaN%;	
20000;	31;	2997;	7000;	10000;	0;	99%;	3;	0;	3;	0;	91%;	23%;	3;	0;	2;	1;	91%;	23%;	2;	2;	0;	0;	79%;	23%;	74%;	23%;	53%;	22%;	20%;	22%;	NaN%;	NaN%;	
25000;	31;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	87%;	23%;	1;	1;	0;	0;	86%;	23%;	1;	1;	0;	0;	86%;	23%;	68%;	23%;	48%;	22%;	18%;	22%;	NaN%;	NaN%;	
30000;	31;	4497;	10500;	15000;	0;	100%;	2;	1;	1;	0;	93%;	23%;	1;	1;	0;	0;	94%;	23%;	2;	1;	1;	0;	86%;	23%;	71%;	23%;	50%;	22%;	19%;	22%;	NaN%;	NaN%;	
35000;	31;	5247;	12250;	17500;	0;	100%;	3;	1;	2;	0;	87%;	23%;	2;	1;	1;	0;	89%;	23%;	2;	1;	1;	0;	88%;	23%;	74%;	23%;	53%;	22%;	20%;	22%;	NaN%;	NaN%;	
40000;	31;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	94%;	23%;	2;	1;	1;	0;	86%;	23%;	1;	1;	0;	0;	92%;	23%;	74%;	23%;	52%;	22%;	20%;	22%;	NaN%;	NaN%;	
45000;	31;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	93%;	23%;	2;	1;	1;	0;	85%;	23%;	1;	1;	0;	0;	92%;	23%;	71%;	23%;	50%;	22%;	19%;	22%;	NaN%;	NaN%;	
50000;	31;	7497;	17500;	25000;	0;	98%;	2;	2;	0;	0;	86%;	23%;	2;	1;	1;	0;	91%;	23%;	1;	1;	0;	0;	92%;	23%;	74%;	23%;	53%;	22%;	20%;	22%;	NaN%;	NaN%;	
5000;	32;	747;	1750;	2500;	0;	99%;	2;	2;	0;	0;	91%;	22%;	2;	1;	1;	0;	92%;	22%;	2;	2;	0;	0;	83%;	22%;	75%;	22%;	53%;	21%;	20%;	21%;	NaN%;	NaN%;	
10000;	32;	1497;	3500;	5000;	0;	98%;	4;	2;	1;	1;	84%;	22%;	2;	2;	0;	0;	84%;	22%;	1;	1;	0;	0;	94%;	22%;	72%;	22%;	51%;	21%;	19%;	21%;	NaN%;	NaN%;	
15000;	32;	2247;	5250;	7500;	0;	100%;	2;	2;	0;	0;	91%;	22%;	2;	2;	0;	0;	87%;	22%;	2;	1;	1;	0;	94%;	22%;	77%;	22%;	56%;	21%;	21%;	21%;	NaN%;	NaN%;	
20000;	32;	2997;	7000;	10000;	0;	97%;	3;	2;	1;	0;	86%;	22%;	3;	1;	1;	1;	94%;	22%;	2;	2;	0;	0;	87%;	22%;	72%;	22%;	51%;	21%;	19%;	21%;	NaN%;	NaN%;	
25000;	32;	3747;	8750;	12500;	0;	97%;	2;	1;	1;	0;	86%;	22%;	2;	1;	0;	1;	89%;	22%;	2;	1;	1;	0;	84%;	22%;	72%;	22%;	51%;	21%;	19%;	21%;	NaN%;	NaN%;	
30000;	32;	4497;	10500;	15000;	0;	99%;	2;	2;	0;	0;	90%;	22%;	2;	1;	1;	0;	95%;	22%;	2;	1;	1;	0;	92%;	22%;	71%;	22%;	50%;	21%;	19%;	21%;	NaN%;	NaN%;	
35000;	32;	5247;	12250;	17500;	0;	100%;	2;	1;	1;	0;	86%;	22%;	1;	1;	0;	0;	90%;	22%;	1;	1;	0;	0;	89%;	22%;	73%;	22%;	51%;	21%;	19%;	21%;	NaN%;	NaN%;	
40000;	32;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	89%;	22%;	1;	1;	0;	0;	87%;	22%;	2;	2;	0;	0;	72%;	22%;	66%;	22%;	46%;	21%;	18%;	21%;	NaN%;	NaN%;	
45000;	32;	6747;	15750;	22500;	0;	98%;	3;	2;	0;	1;	90%;	22%;	1;	1;	0;	0;	93%;	22%;	1;	1;	0;	0;	92%;	22%;	73%;	22%;	52%;	21%;	20%;	21%;	NaN%;	NaN%;	
50000;	32;	7497;	17500;	25000;	0;	95%;	2;	2;	0;	0;	83%;	22%;	2;	2;	0;	0;	81%;	22%;	2;	1;	1;	0;	87%;	22%;	71%;	22%;	50%;	21%;	19%;	21%;	NaN%;	NaN%;	
5000;	33;	747;	1750;	2500;	0;	96%;	2;	2;	0;	0;	83%;	21%;	4;	2;	1;	1;	71%;	21%;	2;	2;	0;	0;	79%;	21%;	69%;	21%;	48%;	21%;	18%;	20%;	NaN%;	NaN%;	
10000;	33;	1497;	3500;	5000;	0;	99%;	3;	2;	1;	0;	86%;	21%;	3;	1;	1;	1;	89%;	21%;	2;	1;	1;	0;	92%;	21%;	71%;	21%;	50%;	21%;	19%;	20%;	NaN%;	NaN%;	
15000;	33;	2247;	5250;	7500;	0;	99%;	3;	3;	0;	0;	86%;	21%;	3;	2;	1;	0;	79%;	21%;	2;	1;	1;	0;	83%;	21%;	75%;	21%;	53%;	21%;	20%;	20%;	NaN%;	NaN%;	
20000;	33;	2997;	7000;	10000;	0;	100%;	2;	1;	0;	1;	93%;	21%;	2;	0;	2;	0;	89%;	21%;	2;	1;	1;	0;	81%;	21%;	70%;	21%;	50%;	21%;	19%;	20%;	NaN%;	NaN%;	
25000;	33;	3747;	8750;	12500;	0;	100%;	3;	2;	1;	0;	91%;	21%;	2;	2;	0;	0;	84%;	21%;	1;	1;	0;	0;	92%;	21%;	72%;	21%;	51%;	21%;	19%;	20%;	NaN%;	NaN%;	
30000;	33;	4497;	10500;	15000;	0;	100%;	3;	1;	1;	1;	91%;	21%;	2;	2;	0;	0;	84%;	21%;	1;	1;	0;	0;	91%;	21%;	73%;	21%;	51%;	21%;	20%;	20%;	NaN%;	NaN%;	
35000;	33;	5247;	12250;	17500;	0;	90%;	3;	1;	2;	0;	79%;	21%;	1;	1;	0;	0;	91%;	21%;	2;	1;	0;	1;	86%;	21%;	69%;	21%;	49%;	21%;	19%;	20%;	NaN%;	NaN%;	
