Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
35000;	7;	5247;	12250;	0;	23171;	99%;	0;	0;	0;	0;	90%;	100%;	0;	0;	0;	0;	89%;	100%;	1;	1;	0;	0;	75%;	100%;	65%;	88%;	49%;	67%;	NaN%;	NaN%;	28%;	53%;	
40000;	7;	5997;	14000;	0;	25543;	100%;	2;	2;	0;	0;	92%;	100%;	1;	1;	0;	0;	82%;	100%;	0;	0;	0;	0;	92%;	100%;	68%;	88%;	52%;	67%;	NaN%;	NaN%;	30%;	53%;	
45000;	7;	6747;	15750;	0;	30856;	100%;	1;	1;	0;	0;	86%;	100%;	1;	1;	0;	0;	95%;	86%;	0;	0;	0;	0;	92%;	100%;	63%;	88%;	46%;	67%;	NaN%;	NaN%;	28%;	53%;	
50000;	7;	7497;	17500;	0;	32197;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	83%;	100%;	0;	0;	0;	0;	93%;	100%;	68%;	89%;	50%;	68%;	NaN%;	NaN%;	28%;	53%;	
5000;	8;	747;	1750;	0;	3087;	99%;	2;	1;	1;	0;	90%;	88%;	2;	2;	0;	0;	75%;	88%;	1;	0;	0;	1;	91%;	88%;	67%;	82%;	48%;	66%;	NaN%;	NaN%;	25%;	50%;	
10000;	8;	1497;	3500;	0;	5781;	100%;	1;	1;	0;	0;	89%;	88%;	1;	1;	0;	0;	85%;	88%;	1;	0;	1;	0;	91%;	88%;	72%;	82%;	54%;	64%;	NaN%;	NaN%;	29%;	50%;	
15000;	8;	2247;	5250;	0;	9866;	100%;	2;	1;	1;	0;	89%;	75%;	1;	1;	0;	0;	83%;	88%;	2;	0;	1;	1;	83%;	88%;	62%;	81%;	45%;	65%;	NaN%;	NaN%;	25%;	52%;	
20000;	8;	2997;	7000;	0;	11885;	100%;	1;	0;	1;	0;	93%;	88%;	1;	1;	0;	0;	85%;	88%;	1;	1;	0;	0;	84%;	88%;	69%;	82%;	50%;	66%;	NaN%;	NaN%;	27%;	50%;	
25000;	8;	3747;	8750;	0;	14435;	100%;	2;	1;	1;	0;	96%;	88%;	1;	1;	0;	0;	89%;	88%;	1;	1;	0;	0;	89%;	88%;	71%;	82%;	54%;	64%;	NaN%;	NaN%;	29%;	50%;	
30000;	8;	4497;	10500;	0;	20634;	99%;	1;	1;	0;	0;	86%;	88%;	1;	0;	0;	1;	85%;	88%;	0;	0;	0;	0;	87%;	88%;	58%;	82%;	41%;	65%;	NaN%;	NaN%;	23%;	52%;	
35000;	8;	5247;	12250;	0;	22376;	100%;	1;	1;	0;	0;	88%;	88%;	1;	1;	0;	0;	85%;	88%;	1;	1;	0;	0;	77%;	88%;	62%;	82%;	46%;	65%;	NaN%;	NaN%;	26%;	51%;	
